LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalRevenuePerStudent,TotalFederalRevenuePerStudent,TotalLocalRevenuePerStudent,TotalStateRevenuePerStudent,StudentTeacherRatio,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent
0100018,ALABAMA SCHOOL OF FINE ARTS,ALABAMA,†,07,12,35203,0,0,0,0,0,0,0,0
0100190,ALABASTER CITY,ALABAMA,03-Elementary/secondary school system,KG,12,35007,11543.5031951499,695.39570702933,5203.17876454203,5644.92872357857,17.3234905497788,894.314271669671,974.111092905129,2051.28625266263
0100005,ALBERTVILLE CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35950,9550.24932873034,1395.66551591868,2614.69121595704,5539.89259685462,18.5607476635514,851.937092443422,901.035673187572,1837.16915995397
0100030,ALEXANDER CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35010,10462.2823984526,1198.25918762089,3777.88523533204,5486.13797549968,17.3781512605042,849.129593810445,1050.61250805932,1452.93359123146
0100060,ANDALUSIA CITY,ALABAMA,03-Elementary/secondary school system,PK,12,36420,10687.6790830946,1352.43553008596,3850.42979942693,5484.81375358166,17.1561817820996,822.349570200573,990.25787965616,1773.0659025788
0100090,ANNISTON CITY,ALABAMA,03-Elementary/secondary school system,PK,12,36202,11327.2987136732,2069.55693187232,3631.25297760838,5626.48880419247,16.7265625,1116.24583134826,1601.71510242973,2533.11100524059
0100100,ARAB CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35016,9293.70078740157,607.874015748032,2742.51968503937,5943.30708661417,15.4091072930434,944.88188976378,935.03937007874,1601.57480314961
0100120,ATHENS CITY,ALABAMA,03-Elementary/secondary school system,KG,12,35611,10303.5850495805,760.233918128655,4673.02313755403,4870.32799389779,18.2887700534759,826.849733028223,1306.8904144419,1832.4434274091
0100180,ATTALLA CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35954,9773.50427350427,1184.37118437118,1924.29792429792,6664.83516483516,17.7422680412371,811.355311355311,1314.40781440781,1599.5115995116
0100210,AUBURN CITY,ALABAMA,03-Elementary/secondary school system,PK,12,36831,16240.5535499398,534.296028880866,10698.6762936221,5007.58122743682,17.1371308016878,1256.31768953069,903.249097472924,1504.45246690734
0100240,AUTAUGA COUNTY,ALABAMA,03-Elementary/secondary school system,KG,12,36067,8415.75606202518,775.002601727547,2037.46487667811,5603.28858361952,18.5846153846154,633.052346758248,757.310854407326,1668.95618690811
0100270,BALDWIN COUNTY,ALABAMA,03-Elementary/secondary school system,PK,12,36507,10935.1783000873,766.544890239565,5474.96039571951,4693.67301412822,17.8549127854388,926.675503540138,876.531634929359,1806.92509133232
0100300,BARBOUR COUNTY,ALABAMA,03-Elementary/secondary school system,PK,12,36016,11092.1052631579,2567.98245614035,2565.78947368421,5958.33333333333,17.7884615384615,1077.85087719298,1484.64912280702,2677.63157894737
0100330,BESSEMER CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35021,11039.5721925134,2000,3182.62032085561,5856.95187165775,17.4537444933921,1233.1550802139,1210.96256684492,2490.3743315508
0100360,BIBB COUNTY,ALABAMA,03-Elementary/secondary school system,PK,12,35042,9779.04876580373,1102.95003010235,2099.93979530403,6576.15894039735,17.3488372093023,966.586393738712,1129.44009632751,1952.43829018663
0100390,BIRMINGHAM CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35202,11081.116105779,1751.99449236626,4259.30425626696,5069.81735714575,18.8359013867488,1333.2928360264,1060.1385007897,2209.81654719961
0100420,BLOUNT COUNTY,ALABAMA,03-Elementary/secondary school system,PK,12,35121,8890.21601016518,880.432020330368,1839.13595933926,6170.64803049555,17.3806451612903,894.28208386277,782.337992376112,1758.06861499365
0100012,BOAZ CITY,ALABAMA,03-Elementary/secondary school system,PK,12,35957,9875.75757575758,1063.63636363636,3022.94372294372,5789.17748917749,18.2382333978079,841.558441558442,1403.8961038961,1960.17316017316
0100450,BREWTON CITY,ALABAMA,03-Elementary/secondary school system,KG,12,36426,9881.69257340242,902.417962003454,3170.12089810017,5809.15371329879,16.2638612453796,586.355785837651,1480.13816925734,1505.18134715026
